in,out,left_context_regex,right_context_regex,note
ch,x,,,české 'ch'
dž,dʒ,,,dž
dz,dz,,,dz (cizí slova)
ou,ou̯,,,diftong
au,au̯,,,diftong
eu,ɛu̯,,,diftong
dě,ɟɛ,,,
tě,cɛ,,,
ně,ɲɛ,,,
mě,mɲɛ,,,
bě,bjɛ,,,
pě,pjɛ,,,
vě,vjɛ,,,
fě,fjɛ,,,
ďí,ɟiː,,,
ťí,ciː,,,
ňí,ɲiː,,,
dí,ɟiː,,,
tí,ciː,,,
ní,ɲiː,,,
ďi,ɟɪ,,,
ťi,cɪ,,,
ňi,ɲɪ,,,
di,ɟɪ,,,
ti,cɪ,,,
ni,ɲɪ,,,
je,jɛ,,,
ji,ji,,,
jí,jiː,,,
a,a,,,
á,aː,,,
e,ɛ,,,
é,ɛː,,,
i,ɪ,,,
í,iː,,,
y,ɪ,,,
ý,iː,,,
o,o,,,
ó,oː,,,
u,u,,,
ú,uː,,,
ů,uː,,,
b,b,,,
c,ts,,,
č,tʃ,,,
d,d,,,
ď,ɟ,,,
f,f,,,
g,ɡ,,,
h,ɦ,,,
j,j,,,
k,k,,,
l,l,,,
m,m,,,
n,n,,,
ň,ɲ,,,
p,p,,,
r,r,,,
ř,r̝,,,
s,s,,,
š,ʃ,,,
t,t,,,
ť,c,,,
v,v,,,
z,z,,,
ž,ʒ,,,
