aa,aː,,
ai,aɪ,,
au,a͡ʊ,,
ah,aː,,
arch,ʔaɐ̯ch,\b,
ach,ʔaɐch,\b,
a,a,,DOUBLECONSONANT
a,aː,,CONSONANT
a,ʔa,\b,
äu,ɔ͡ʏ,,
äh,ɛː,,\b
ä,ɛː,,
b,pʰ,,\b
b,b,,
sch,ʃ,,
öcht,œçt,,
öch,œç,,
ch,χ,BACK,
ch,χ,MIDDLE,
ch,ç,FRONT,
ch,ç,\b,
ch,χ,,
ck,k,,
c,k,\b,VOWEL
d,t,,\b
d,d,,
ee,eː,,
eh,eː,,\b
eh,ɛː,m,
eh,ɛː,,
eu,ɔʏ̯,,
ei,a͡ɪ,,
es,ɛs,,\b
en,ən,,\b
erer,əʁɐ,,\b
er,ɐ,,\b 
e,ɛː,r,
e,ɛ,,r
e,eː,\b,\b
e,ə,,\b
e,e,CONSONANT,
ə,e,CONSONANT,
dɛr,deːɐ̯,,\b
ɛr,ɐ̯,,\b
f,f,,
ig,ɪkʰ,t,\b
ig,ɪç,,\b
ig,ɪç,CONSONANT,
gl,kl,
g,kʰ,,\b
g,ɡ,,
h,h,\b,
h,,,\b
ie,iː,,
iə,iː,,
ih,iː,,
i,ɪ,,CONSONANT
j,j,,
k,k,,
l,l,,
m,m,,
ng,ŋ,,
nɡ,ŋ,,
nk,ŋk,,\b
nk,nk,,
n,n,,
oe,œ,,
oh,oː,,
oi,ɔ͡ɪ,,
ol,ɔl,,
om,ɔm,,
on,ɔn,,
oo,oː,,
oo,ʊ,,\b
o,oː,,\b
o,ɔ,CONSONANT,r
o,ɔ,,CONSONANT
o,o,,
öh,øː,,
ön,øːn,,i
ön,œn,,\b
ö,œ,,DOUBLECONSONANT
ö,øː,,\b
ö,øː,CONSONANT,CONSONANT
ö,øː,,CONSONANT
ö,œ,,
ph,f,,
p,p,,
qu,kv,,
q,kv,,
r,ɐ̯,VOWEL,\b
r,ʁ,,
st,ʃt,\b,
sp,ʃp,\b,
s,s,\b,\b
s,z,\b,VOWEL
tz,t͡s,,
üh,yː,,
ü,yː,,
uh,uː,,\b
uh,u,,
ui,ʊ͡ɪ,,
u,ʊ,,
v,f,,
w,v,,
x,ks,,
y,ɪ,,CONSONANT
y,y,,DOUBLECONSONANT
z,t͡s,!t,
z,s,ɛ,
ß,s,,
t,t,,
tsc,tʃ,,\b
t,t,,\b
zʊ,t͡su,,\b
z,s,\b,\b
bb,b,,
dd,d,,
ff,f,,
gg,ɡ,,
ll,l,,
mm,m,,
nn,n,,
pp,p,,
rr,ʁ,,
ss,s,,
tt,t,,
