nj,ⁿk,,CONSONANTS
p,pʰ
mb,ᵐp
b,p
wh,w̥
tth',tθʼ
tth,tθʰ
th,θ
ts',tsʼ
ts,tsʰ
tr',ʈʂʼ
tr,ʈʂʰ
tl',tɬʼ
tl,tɬʰ
t',tʼ
t,tʰ
ddh,tθ
dh,ð
dz,ts
dr,ʈʂ
dl,tɬ
ḏ,d
d,t
nh,n̥
nd,ⁿt
nj,ⁿk,,VELAR
nj,ŋ
rh,ɻ̊
zr,ʐ
sr,ʂ
r,ɻ
zh,ʒ
ł,ɬ
ch',tʃʼ
ch,tʃʰ
j̱,dʒ
j,tʃ
sh,ʃ
yh,j̊
kh,x
k',kʼ
k,kʁ,,VOWELS
k,kʰ
gh,ɣ
g,ɡʁ,,VOWELS
g,k
',ʔ
l,ɬɮ,VOWELS,VOWELS
ą̈̀w,ã̀o
ą̈̌w,ã̌o
ą̈̂w,ã̂o
a\u0328\u0308w,ão
ą̀w,æ̃̀o
ą̌w,æ̃̌o
ą̂w,æ̃̂o
a\u0328w,æ̃o
ą̀y,æ̃̀i
ą̌y,æ̃̌i
ą̂y,æ̃̂i
a\u0328y,æ̃i
ä\u0328,ɑ̃
a\u0328,æ̃
ę̀w,ẽ̀o
ę̌w,ẽ̌o
ę̂w,ẽ̂o
e\u0328w,ẽo
ę̀y,ẽ̀i
ę̌y,ẽ̌i
ę̂y,ẽ̂i
e\u0328y,ẽi
ë\u0328,ə̃
ǫ̀y,õ̀i
ǫ̌y,õ̌i
ǫ̂y,õ̂i
o\u0328y,õi
į̀w,ĩ̀u
į̌w,ĩ̌u
į̂w,ĩ̂u
i\u0328w,ĩu
ë\u0328,ə\u0303
ë,ə
ä̀w,ào
ä̂w,âo
ä̌w,ǎo
äw,ao
àw,æ̀o
ǎw,æ̌o
âw,æ̂o
aw,æo
ày,æ̀i
ǎy,æ̌i
ây,æ̂i
ay,æi
ä\u0328,ɑ\u0303
ä,ɑ
a\u0328,æ\u0303
a,æ
èw,èo
ěw,ěo
êw,êo
ew,eo
èy,èi
ěy,ěi
êy,êi
ey,ei
òy,òi
ǒy,ǒi
ôy,ôi
oy,oi
ìw,ìu
ǐw,ǐu
îw,îu
iw,iu
y,j
o\u0328,o\u0303
o,o
e\u0328,e\u0303
e,e
\u0328,\u0303
