p/,p̓
p̕,p̓
p’,p̓
t/,t̓
t̕,t̓
t’,t̓
k/,k̓
k̕,k̓
k’,k̓
c/,c̓
c̕,c̓
c’,c̓
ƛ/,ƛ̓
ƛ̕,ƛ̓
ƛ’,ƛ̓
k{1}'{2}ʷ{3},k{1}̓{2}ʷ{3}
k{1}]{2}ʷ{3},k{1}̓{2}ʷ{3}
k{1}̕{2}ʷ{3},k{1}̓{2}ʷ{3}
k{1}’{2}ʷ{3},k{1}̓{2}ʷ{3}
k{1}ʷ{3}̓{2},k{1}̓{2}ʷ{3}
k{1}ʷ{3}'{2},k{1}̓{2}ʷ{3}
k{1}ʷ{3}’{2},k{1}̓{2}ʷ{3}
k{1}'{2}w{3},k{1}̓{2}ʷ{3}
k{1}]{2}w{3},k{1}̓{2}ʷ{3}
k{1}̕{2}w{3},k{1}̓{2}ʷ{3}
k{1}’{2}w{3},k{1}̓{2}ʷ{3}
k{1}w{3}̓{2},k{1}̓{2}ʷ{3}
k{1}w{3}'{2},k{1}̓{2}ʷ{3}
k{1}w{3}’{2},k{1}̓{2}ʷ{3}
q{1}'{2}ʷ{3},q{1}̓{2}ʷ{3}
q{1}]{2}ʷ{3},q{1}̓{2}ʷ{3}
q{1}̕{2}ʷ{3},q{1}̓{2}ʷ{3}
q{1}’{2}ʷ{3},q{1}̓{2}ʷ{3}
q{1}ʷ{3}̓{2},q{1}̓{2}ʷ{3}
q{1}ʷ{3}'{2},q{1}̓{2}ʷ{3}
q{1}ʷ{3}’{2},q{1}̓{2}ʷ{3}
q{1}'{2}w{3},q{1}̓{2}ʷ{3}
q{1}]{2}w{3},q{1}̓{2}ʷ{3}
q{1}̕{2}w{3},q{1}̓{2}ʷ{3}
q{1}’{2}w{3},q{1}̓{2}ʷ{3}
q{1}w{3}̓{2},q{1}̓{2}ʷ{3}
q{1}w{3}'{2},q{1}̓{2}ʷ{3}
q{1}w{3}’{2},q{1}̓{2}ʷ{3}
kw,kʷ
gw,gʷ
qw,qʷ
ɢw,ɢʷ
xw,xʷ
χw,χʷ
̕{1}m{2},m{2}̓{1}
’{1}m{2},m{2}̓{1}
'{1}m{2},m{2}̓{1}
m{2}'{1},m{2}̓{1}
̕{1}n{2},n{2}̓{1}
’{1}n{2},n{2}̓{1}
'{1}n{2},n{2}̓{1}
n{2}'{1},n{2}̓{1}
̕{1}w{2},w{2}̓{1}
’{1}w{2},w{2}̓{1}
'{1}w{2},w{2}̓{1}
w{2}'{1},w{2}̓{1}
̕{1}y{2},y{2}̓{1}
’{1}y{2},y{2}̓{1}
'{1}y{2},y{2}̓{1}
y{2}'{1},y{2}̓{1}
̕{1}l{2},l{2}'{1}
l{2}̓{1},l{2}'{1}
’{1}l{2},l{2}'{1}
'{1}l{2},l{2}'{1}
dz,dᶻ
