p/,p\u0313
p\u0315,p\u0313
p\u2019,p\u0313
t/,t\u0313
t\u0315,t\u0313
t\u2019,t\u0313
k/,k\u0313
k\u0315,k\u0313
k\u2019,k\u0313
c/,c\u0313
c\u0315,c\u0313
c\u2019,c\u0313
ƛ/,ƛ\u0313
ƛ\u0315,ƛ\u0313
ƛ\u2019,ƛ\u0313
k{1}'{2}ʷ{3},k{1}\u0313{2}ʷ{3}
k{1}]{2}ʷ{3},k{1}\u0313{2}ʷ{3}
k{1}\u0315{2}ʷ{3},k{1}\u0313{2}ʷ{3}
k{1}\u2019{2}ʷ{3},k{1}\u0313{2}ʷ{3}
k{1}ʷ{3}\u0313{2},k{1}\u0313{2}ʷ{3}
k{1}ʷ{3}'{2},k{1}\u0313{2}ʷ{3}
k{1}ʷ{3}\u2019{2},k{1}\u0313{2}ʷ{3}
k{1}'{2}w{3},k{1}\u0313{2}ʷ{3}
k{1}]{2}w{3},k{1}\u0313{2}ʷ{3}
k{1}\u0315{2}w{3},k{1}\u0313{2}ʷ{3}
k{1}\u2019{2}w{3},k{1}\u0313{2}ʷ{3}
k{1}w{3}\u0313{2},k{1}\u0313{2}ʷ{3}
k{1}w{3}'{2},k{1}\u0313{2}ʷ{3}
k{1}w{3}\u2019{2},k{1}\u0313{2}ʷ{3}
q{1}'{2}ʷ{3},q{1}\u0313{2}ʷ{3}
q{1}]{2}ʷ{3},q{1}\u0313{2}ʷ{3}
q{1}\u0315{2}ʷ{3},q{1}\u0313{2}ʷ{3}
q{1}\u2019{2}ʷ{3},q{1}\u0313{2}ʷ{3}
q{1}ʷ{3}\u0313{2},q{1}\u0313{2}ʷ{3}
q{1}ʷ{3}'{2},q{1}\u0313{2}ʷ{3}
q{1}ʷ{3}\u2019{2},q{1}\u0313{2}ʷ{3}
q{1}'{2}w{3},q{1}\u0313{2}ʷ{3}
q{1}]{2}w{3},q{1}\u0313{2}ʷ{3}
q{1}\u0315{2}w{3},q{1}\u0313{2}ʷ{3}
q{1}\u2019{2}w{3},q{1}\u0313{2}ʷ{3}
q{1}w{3}\u0313{2},q{1}\u0313{2}ʷ{3}
q{1}w{3}'{2},q{1}\u0313{2}ʷ{3}
q{1}w{3}\u2019{2},q{1}\u0313{2}ʷ{3}
kw,kʷ
gw,gʷ
qw,qʷ
ɢw,ɢʷ
xw,xʷ
χw,χʷ
\u0315{1}m{2},m{2}\u0313{1}
\u2019{1}m{2},m{2}\u0313{1}
'{1}m{2},m{2}\u0313{1}
m{2}'{1},m{2}\u0313{1}
\u0315{1}n{2},n{2}\u0313{1}
\u2019{1}n{2},n{2}\u0313{1}
'{1}n{2},n{2}\u0313{1}
n{2}'{1},n{2}\u0313{1}
\u0315{1}w{2},w{2}\u0313{1}
\u2019{1}w{2},w{2}\u0313{1}
'{1}w{2},w{2}\u0313{1}
w{2}'{1},w{2}\u0313{1}
\u0315{1}y{2},y{2}\u0313{1}
\u2019{1}y{2},y{2}\u0313{1}
'{1}y{2},y{2}\u0313{1}
y{2}'{1},y{2}\u0313{1}
\u0315{1}l{2},l{2}'{1}
l{2}\u0313{1},l{2}'{1}
\u2019{1}l{2},l{2}'{1}
'{1}l{2},l{2}'{1}
dz,dᶻ
