p/,p\u0313
p\u0315,p\u0313
p\u2019,p\u0313
t/,t\u0313
t\u0315,t\u0313
t\u2019,t\u0313
k/,k\u0313
k\u0315,k\u0313
k\u2019,k\u0313
c/,c\u0313
c\u0315,c\u0313
c\u2019,c\u0313
ƛ/,ƛ\u0313
ƛ\u0315,ƛ\u0313
ƛ\u2019,ƛ\u0313
k'ʷ,k\u0313ʷ
k]ʷ,k\u0313ʷ
k\u0315ʷ,k\u0313ʷ
k\u2019ʷ,k\u0313ʷ
kʷ\u0313,k\u0313ʷ
kʷ',k\u0313ʷ
kʷ\u2019,k\u0313ʷ
k'w,k\u0313ʷ
k]w,k\u0313ʷ
k\u0315w,k\u0313ʷ
k\u2019w,k\u0313ʷ
kw\u0313,k\u0313ʷ
kw',k\u0313ʷ
kw\u2019,k\u0313ʷ
q'ʷ,q\u0313ʷ
q]ʷ,q\u0313ʷ
q\u0315ʷ,q\u0313ʷ
q\u2019ʷ,q\u0313ʷ
qʷ\u0313,q\u0313ʷ
qʷ',q\u0313ʷ
qʷ\u2019,q\u0313ʷ
q'w,q\u0313ʷ
q]w,q\u0313ʷ
q\u0315w,q\u0313ʷ
q\u2019w,q\u0313ʷ
qw\u0313,q\u0313ʷ
qw',q\u0313ʷ
qw\u2019,q\u0313ʷ
g\u030Cw,g\u030Cʷ
x\u030Cw,x\u030Cʷ
kw,kʷ
gw,gʷ
qw,qʷ
xw,xʷ
χw,χʷ
\u0315m,m\u0313
\u2019m,m\u0313
'm,m\u0313
\u0315n,n\u0313
\u2019n,n\u0313
'n,n\u0313
\u0315w,w\u0313
\u2019w,w\u0313
'w,w\u0313
\u0315y,y\u0313
\u2019y,y\u0313
'y,y\u0313
l\u0315,l'
l\u0313,l'
l\u2019,l'
dz,dᶻ
