p/,p̓
p̕,p̓
p’,p̓
t/,t̓
t̕,t̓
t’,t̓
t's,t̕s
t]s,t̕s
t̓s,t̕s
t̕s,t̕s
t’s,t̕s
t{1}s{3}\u0313{2},t{1}\u0315{2}s{3}
t{1}s{3}\u0315{2},t{1}\u0315{2}s{3}
t{1}s{3}'{2},t{1}\u0315{2}s{3}
t{1}s{3}’{2},t{1}\u0315{2}s{3}
t'ɬ,t̕ɬ
t]ɬ,t̕ɬ
t̓ɬ,t̕ɬ
t̕ɬ,t̕ɬ
t’ɬ,t̕ɬ
t{1}ɬ{3}\u0313{2},t{1}\u0315{2}ɬ{3}
t{1}ɬ{3}\u0315{2},t{1}\u0315{2}ɬ{3}
t{1}ɬ{3}'{2},t{1}\u0315{2}ɬ{3}
t{1}ɬ{3}’{2},t{1}\u0315{2}ɬ{3}
k/,k̓
k̕,k̓
k’,k̓
k'w,k̕w
k]w,k̕w
k̓w,k̕w
k̕w,k̕w
k’w,k̕w
k{1}w{3}\u0313{2},k{1}\u0315{2}w{3}
k{1}w{3}\u0315{2},k{1}\u0315{2}w{3}
k{1}w{3}'{2},k{1}\u0315{2}w{3}
k{1}w{3}’{2},k{1}\u0315{2}w{3}
k;,ḵ
ḵ',ḵ̓
ḵ̕,ḵ̓
g;,g̱
k;w,ḵw
ḵ'w,ḵ̕w
k;]w,ḵ̕w
k{1}]{3};{2}w{4},k{1}\u0331{2}\u0315{3}w{4}
ḵ̓w,ḵ̕w
ḵ̕w,ḵ̕w
k{1}\u0315{3}\u0331{2}w{4},k{1}\u0331{2}\u0315{3}w{4}
k{1}\u0313{3}\u0331{2}w{4},k{1}\u0331{2}\u0315{3}w{4}
g;w,g̱w
’,'
̕,'
x;,x̱
x;w,x̱w
̕m,'m
m{2}\u0313{1},'{1}m{2}
’m,'m
̕n,'n
n{2}\u0313{1},'{1}n{2}
’n,'n
̕w,'w
w{2}\u0313{1},'{1}w{2}
’w,'w
̕y,'y
y{2}\u0313{1},'{1}y{2}
’y,'y
̕l,'l
l{2}\u0313{1},'{1}l{2}
’l,'l
