p/,p\u0313
p\u0315,p\u0313
p/u2019,p\u0313
t/,t\u0313
t\u0315,t\u0313
t\u2019,t\u0313
t{1}'{2}s{3},t{1}\u0313{2}s{3}
t{1}]{2}s{3},t{1}\u0313{2}s{3}
t{1}\u0315{2}s{3},t{1}\u0313{2}s{3}
t{1}\u2019{2}s{3},t{1}\u0313{2}s{3}
t{1}s{3}\u0313{2},t{1}\u0313{2}s{3}
t{1}s{3}'{2},t{1}\u0313{2}s{3}
t{1}s{3}\u2019{2},t{1}\u0313{2}s{3}
t{1}'{2}ɬ{3},t{1}\u0313{2}ɬ{3}
t{1}]{2}ɬ{3},t{1}\u0313{2}ɬ{3}
t{1}\u0315{2}ɬ{3},t{1}\u0313{2}ɬ{3}
t{1}\u2019{2}ɬ{3},t{1}\u0313{2}ɬ{3}
t{1}ɬ{3}\u0313{2},t{1}\u0313{2}ɬ{3}
t{1}ɬ{3}'{2},t{1}\u0313{2}ɬ{3}
t{1}ɬ{3}\u2019{2},t{1}\u0313{2}ɬ{3}
k/,k\u0313
k\u0315,k\u0313
k\u2019,k\u0313
k{1}'{2}w{3},k{1}\u0313{2}w{3}
k{1}]{2}w{3},k{1}\u0313{2}w{3}
k{1}\u0315{2}w{3},k{1}\u0313{2}w{3}
k\u2019w,k{1}\u0313{2}w{3}
k{1}w{3}\u0313{2},k{1}\u0313{2}w{3}
k{1}w{3}'{2},k{1}\u0313{2}w{3}
k{1}w{3}\u2019{2},k{1}\u0313{2}w{3}
k;,k\u0331
k\u0331',k\u0331\u0313
k\u0331\u0315,k\u0331\u0313
g;,g\u0331
k;w,k\u0331w
k{1}\u0331{2}'{3}w{4},k{1}\u0331{2}\u0313{3}w{4}
k{1};{2}]{3}w{4},k{1}\u0331{2}\u0313{3}w{4}
k{1}]{3};{2}w{4},k{1}\u0331{2}\u0313{3}w{4}
k{1}\u0331{2}\u0315{3}w{4},k{1}\u0331{2}\u0313{3}w{4}
k{1}\u0315{3}\u0331{2}w{4},k{1}\u0331{2}\u0313{3}w{4}
g;w,g\u0331w
\u2019,'
\u0315,'
x;,x\u0331
x;w,x\u0331w
\u0315{1}m{2},'{1}m{2}
m{2}\u0313{1},'{1}m{2}
\u2019{1}m{2},'{1}m{2}
\u0315{1}n{2},'{1}n{2}
n{2}\u0313{1},'{1}n{2}
\u2019{1}n{2},'{1}n{2}
\u0315{1}w{2},'{1}w{2}
w{2}\u0313{1},'{1}w{2}
\u2019{1}w{2},'{1}w{2}
\u0315{1}y{2},'{1}y{2}
y{2}\u0313{1}',{1}y{2}
\u2019{1}y{2},'{1}y{2}
\u0315{1}l{2},'{1}l{2}
l{2}\u0313{1},'{1}l{2}
\u2019{1}l{2},'{1}l{2}
