ᐊ,a
ᐅ,o
ᐁ,e
ᐃ,i
ᐘ,wa
ᐏ,wi
ᐍ,we
ᐓ,wo
ᐤ,w
ᐸ,pa
ᐳ,po
ᐱ,pi
ᐯ,pe
ᑅ,pwa
ᑁ,pwo
ᐽ,pwi
ᐻ,pwe
ᑊ,p
ᐦ,h
ᑕ,ta
ᑐ,to
ᑎ,ti
ᑌ,te
ᑢ,twa
ᑞ,two
ᑚ,twi
ᑘ,twe
ᐟ,t
ᒋ,chi
ᒍ,cho
ᘃ,che
ᘂ,cha
ᒝ,chwa
ᒙ,chwo
ᒕ,chwi
ᒓ,chwe
ᐨ,ch
ᒪ,ma
ᒥ,mi
ᒧ,mo
ᒣ,me
ᒷ,mwa
ᒳ,mwo
ᒯ,mwi
ᒭ,mwe
ᒼ,m
ᓇ,na
ᓂ,ni
ᓄ,no
ᓀ,ne
ᓌ,nwa
ᓄᐧ,nwo
ᓂᐧ,nwi
ᓊ,nwe
ᐣ,n
ᑲ,ka
ᑭ,ki
ᑫ,ke
ᑯ,ko
ᑿ,kwa
ᑻ,kwo
ᑷ,kwi
ᑵ,kwe
ᐠ,k
ᓴ,sa
ᓯ,si
ᓱ,so
ᓭ,se
ᔁ,swa
ᓽ,swo
ᓹ,swi
ᓷ,swe
ᐢ,s
ᔕ,sha
ᔑ,shi
ᔓ,sho
ᔐ,she
ᔢ,shwa
ᔞ,shwo
ᔚ,shwi
ᔘ,shwe
ᐡ,sh
ᔭ,ya
ᔨ,yi
ᔪ,yo
ᔦ,ye
ᔺ,ywa
ᔶ,ywo
ᔲ,ywi
ᔰ,ywe
ᔾ,y
ᓬ,l
ᕒ,r
᙮,.
