b,p
tth',tθ'
tth,tθʰ
th,θ
tl',tɬ'
tl,tɬʰ
ts',ts'
ts,tsʰ
t',t'
t,tʰ
ddh,tθ
dh,ð
dz,ts
dl,tɬ
d,t
sh,ʃ
zh,ʒ
ch',tʃ'
ch,tʃʰ
j,tʃ
ghw,ɣʷ
gh,ɣ
gw,kʷ
khw,xʷ
k'w,k'ʷ
kh,x
kw,kʰʷ
k',k'
k,kʰ
r,ɹ
',ʔ
ł,ɬ
mb,ᵐp
nd,ⁿt
nj,ⁿtʃ
é\u0328,ɛ̃
è\u0328,ɛ̃
ê\u0328,ɛ̃
ě\u0328,ɛ̃
ē\u0328,ɛ̃
ǘ\u0328,ʉ̃
ǜ\u0328,ʉ̃
ǚ\u0328,ʉ̃
ü̂\u0328,ʉ̃
ǖ\u0328,ʉ̃
ä́\u0328w,ə̃w
ä̀\u0328w,ə̃w
â\u0328w,ə̃w
ä̌\u0328w,ə̃w
ǟ\u0328w,ə̃w
á\u0328y,ãi
à\u0328y,ãi
ǎ\u0328y,ãi
â\u0328y,ãi
ā\u0328y,ãi
ä́\u0328,ʌ̃
ä̀\u0328,ʌ̃
â\u0328,ʌ̃
ä̌\u0328,ʌ̃
ǟ\u0328,ʌ̃
á\u0328,ɑ̃
à\u0328,ɑ̃
ǎ\u0328,ɑ̃
â\u0328,ɑ̃
ā\u0328,ɑ̃
é,ɛ
è,ɛ
ê,ɛ
ě,ɛ
ē,ɛ
ǘ,ʉ
ǜ,ʉ
ǚ,ʉ
ü̂,ʉ
ǖ,ʉ
ä́w,əw
ä̀w,əw
âw,əw
ä̌w,əw
ǟw,əw
áy,ai
ày,ai
ǎy,ai
ây,ai
āy,ai
ä́,ʌ
ä̀,ʌ
â,ʌ
ä̌,ʌ
ǟ,ʌ
á,ɑ
à,ɑ
ǎ,ɑ
â,ɑ
ā,ɑ
e\u0328,ɛ̃
ü\u0328,ʉ̃
ä\u0328w,ə̃w
a\u0328y,ãi
ä\u0328,ʌ̃
a\u0328,ɑ̃
e,ɛ
ü,ʉ
äw,əw
ay,ai
ä,ʌ
a,ɑ
í\u0328,ĩ
ì\u0328,ĩ
ǐ\u0328,ĩ
î\u0328,ĩ
ī\u0328,ĩ
ó\u0328,õ
ò\u0328,õ
ǒ\u0328,õ
ô\u0328,õ
ō\u0328,õ
ú\u0328,ũ
ù\u0328,ũ
ǔ\u0328,ũ
û\u0328,ũ
ū\u0328,ũ
i\u0328,ĩ
o\u0328,õ
u\u0328,ũ
í,i
ì,i
ǐ,i
î,i
ī,i
ó,o
ò,o
ǒ,o
ô,o
ō,o
ú,u
ù,u
ǔ,u
û,u
ū,u
y,j
