p,pʰ,,
b,p,,
d,t,,
t,tʰ,,[^'sl]
l,ɬʰ,t,[^']
l,ɬ,,
ł,ɬ,,
sh,ʃ,,
z,s,,
s,sʰ,t,[^']
j,tʃ,,
ch,tʃʰ,,[^']
ch,tʃ,,
c,tʃʰ,,[^']
c,tʃ,,
w,ʷ,[x'kgh\.𝚐̲𝚔̲𝚡̲̲],
k,kʰ,,[^']
x,x,,
g,k,,
y,j,,
ÿ,ɰ,,
é,e,,
á,a,,
ó,o,,
ú,u,,
í,i,,
è,e,,
à,a,,
ì,i,,
ò,o,,
ù,u,,
ê,e,,
â,a,,
î,i,,
ô,o,,
û,u,,
\u0061\u0328,ã,,
\u0065\u0328,ẽ,,
\u0069\u0328,ĩ,,
\u006F\u0328,õ,,
\u0075\u0328,ũ,,
ee,iː,,
ei,eː,,
aa,aː,,
oo,uː,,
𝚘̲o,oː,,
𝚘̲,o,,
𝚡̲,χ,,
\.,ʔ,,
𝚐̲,q,,
𝚔̲,q,,'
𝚔̲,qʰ,,[^']
𝚕̲,l,,
